City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
134,hajnowka,52.7433,23.5812,39.0,83,92,3.0,PL,2021-01-23 22:44:32,overcast clouds
135,kampene,-3.6,26.6667,69.51,95,100,1.52,CD,2021-01-23 22:42:53,overcast clouds
136,ibra,22.6906,58.5334,54.39,43,0,5.06,OM,2021-01-23 22:44:32,clear sky
137,yarada,17.65,83.2667,71.6,100,20,2.3,IN,2021-01-23 22:41:42,mist
138,severo-kurilsk,50.6789,156.125,22.19,95,91,27.76,RU,2021-01-23 22:41:41,snow
139,oranjemund,-28.55,16.4333,64.44,86,84,19.15,NA,2021-01-23 22:44:33,broken clouds
140,broome,42.2506,-75.833,18.0,79,90,10.36,US,2021-01-23 22:41:54,light snow
141,atherton,53.5237,-2.4935,30.0,82,1,2.19,GB,2021-01-23 22:44:33,clear sky
142,norman wells,65.282,-126.8329,-18.4,76,40,3.44,CA,2021-01-23 22:41:23,scattered clouds
143,campohermoso,36.9357,-2.1337,59.0,77,0,17.27,ES,2021-01-23 22:44:33,clear sky
144,evensk,61.95,159.2333,-14.67,81,99,10.0,RU,2021-01-23 22:42:38,overcast clouds
145,lyuban,52.7985,28.0048,33.12,94,98,10.94,BY,2021-01-23 22:44:33,overcast clouds
146,grand gaube,-20.0064,57.6608,79.0,75,0,3.0,MU,2021-01-23 22:42:21,light rain
147,tuatapere,-46.1333,167.6833,60.01,77,95,8.99,NZ,2021-01-23 22:41:45,overcast clouds
148,kirksville,40.1948,-92.5833,35.6,38,90,14.97,US,2021-01-23 22:44:34,overcast clouds
149,port hedland,-20.3167,118.5667,82.4,61,3,12.66,AU,2021-01-23 22:42:10,clear sky
150,brae,60.3964,-1.353,37.4,81,75,12.66,GB,2021-01-23 22:41:13,broken clouds
151,naryan-mar,67.6713,53.087,-14.94,86,100,13.78,RU,2021-01-23 22:44:34,overcast clouds
152,vao,-22.6667,167.4833,75.85,80,86,26.19,NC,2021-01-23 22:41:40,overcast clouds
153,chernyshevskiy,63.0128,112.4714,-53.25,78,50,3.36,RU,2021-01-23 22:44:35,scattered clouds
154,chokurdakh,70.6333,147.9167,-37.34,83,86,6.46,RU,2021-01-23 22:41:45,overcast clouds
155,airai,-8.9266,125.4092,65.12,98,94,2.35,TL,2021-01-23 22:41:51,moderate rain
156,sayyan,15.1718,44.3244,44.04,56,2,3.13,YE,2021-01-23 22:44:35,clear sky
157,tabou,4.423,-7.3528,78.13,87,1,6.98,CI,2021-01-23 22:41:40,clear sky
158,novyy buyan,53.6861,50.0469,21.2,93,90,6.71,RU,2021-01-23 22:44:35,light snow
159,georgetown,5.4112,100.3354,77.0,94,20,4.7,MY,2021-01-23 22:38:23,few clouds
160,mount gambier,-37.8333,140.7667,69.8,64,100,10.36,AU,2021-01-23 22:41:35,overcast clouds
161,santa lucia,27.9117,-15.5407,64.4,77,40,11.5,ES,2021-01-23 22:44:36,scattered clouds
162,salalah,17.0151,54.0924,69.8,30,0,12.66,OM,2021-01-23 22:42:12,clear sky
163,abejorral,5.7893,-75.4273,69.8,64,40,6.91,CO,2021-01-23 22:44:36,scattered clouds
164,memmingen,47.9837,10.1853,32.0,86,90,9.22,DE,2021-01-23 22:44:36,snow
165,fermoy,52.1358,-8.2758,34.0,93,40,10.36,IE,2021-01-23 22:44:36,scattered clouds
166,katsuura,35.1333,140.3,39.2,93,75,23.02,JP,2021-01-23 22:41:25,light rain
167,ouesso,1.6136,16.0517,75.06,61,94,2.21,CG,2021-01-23 22:44:36,overcast clouds
168,pangnirtung,66.1451,-65.7125,15.78,79,30,3.02,CA,2021-01-23 22:41:24,scattered clouds
169,batagay-alyta,67.8006,130.4114,-34.73,75,90,0.4,RU,2021-01-23 22:42:48,overcast clouds
170,alofi,-19.0595,-169.9187,86.0,66,43,6.91,NU,2021-01-23 22:42:42,moderate rain
171,murray bridge,-35.1167,139.2667,93.99,18,98,5.01,AU,2021-01-23 22:44:37,overcast clouds
172,nioro,13.35,-15.75,74.64,17,37,7.65,GM,2021-01-23 22:41:36,scattered clouds
173,ulverstone,-41.15,146.1667,73.0,73,38,8.01,AU,2021-01-23 22:44:37,scattered clouds
174,mezen,65.8522,44.24,2.43,93,100,9.35,RU,2021-01-23 22:44:37,overcast clouds
175,caborca,30.5838,-111.101,66.99,47,29,5.99,MX,2021-01-23 22:44:37,scattered clouds
176,vila velha,-20.3297,-40.2925,80.6,69,20,6.91,BR,2021-01-23 22:39:20,light rain
177,takaungu,-3.6837,39.8566,76.57,88,78,6.46,KE,2021-01-23 22:44:38,broken clouds
178,sechura,-5.5569,-80.8222,77.81,64,8,16.24,PE,2021-01-23 22:41:25,clear sky
179,zemio,5.0314,25.1361,74.03,35,97,4.74,CF,2021-01-23 22:44:38,overcast clouds
180,marzuq,14.4,46.4667,53.89,41,60,2.3,YE,2021-01-23 22:44:38,broken clouds
181,iracoubo,5.4802,-53.2011,77.63,89,100,13.35,GF,2021-01-23 22:44:38,overcast clouds
182,atbasar,51.8,68.3333,-15.75,87,99,2.13,KZ,2021-01-23 22:44:38,overcast clouds
183,haverfordwest,51.8017,-4.9691,32.0,93,40,8.05,GB,2021-01-23 22:44:39,scattered clouds
184,krasnaya zarya,52.7825,37.6806,33.94,99,100,7.18,RU,2021-01-23 22:44:39,overcast clouds
185,urumqi,43.801,87.6005,10.4,85,0,4.47,CN,2021-01-23 22:42:25,clear sky
186,sinnamary,5.3833,-52.95,77.61,88,100,12.91,GF,2021-01-23 22:37:01,overcast clouds
187,castro,-24.7911,-50.0119,64.98,94,100,5.73,BR,2021-01-23 22:41:44,overcast clouds
188,sao borja,-28.6606,-56.0044,85.66,51,71,4.59,BR,2021-01-23 22:44:40,light rain
189,viedma,-40.8135,-62.9967,71.47,53,29,27.18,AR,2021-01-23 22:41:40,scattered clouds
190,chester,40.1254,-75.8749,28.0,50,1,13.8,US,2021-01-23 22:42:22,clear sky
191,umm kaddadah,13.6017,26.6876,66.13,26,52,13.44,SD,2021-01-23 22:44:40,broken clouds
192,petatlan,17.5167,-101.2667,84.2,65,75,5.01,MX,2021-01-23 22:44:40,broken clouds
193,khatassy,61.9036,129.6383,-58.0,51,90,2.24,RU,2021-01-23 22:44:40,fog
194,lavrentiya,65.5833,-171.0,-1.1,86,93,7.58,RU,2021-01-23 22:37:15,overcast clouds
195,fortuna,40.5982,-124.1573,53.01,66,1,14.97,US,2021-01-23 22:41:59,clear sky
196,aranjuez,40.0311,-3.6025,55.99,82,100,28.83,ES,2021-01-23 22:44:41,overcast clouds
197,sainte-marie,-20.8968,55.5496,75.2,73,0,8.05,RE,2021-01-23 22:44:41,light rain
198,mykolayiv,46.9659,31.9974,46.33,88,99,15.66,UA,2021-01-23 22:44:41,overcast clouds
199,lompoc,34.6391,-120.4579,53.6,71,90,10.36,US,2021-01-23 22:41:13,overcast clouds
200,itarema,-2.9248,-39.9167,78.93,84,63,11.54,BR,2021-01-23 22:41:59,broken clouds
201,dhidhdhoo,6.8833,73.1,81.43,74,15,9.82,MV,2021-01-23 22:39:53,few clouds
202,vardo,70.3705,31.1107,22.48,96,100,29.71,NO,2021-01-23 22:42:34,light snow
203,fairbanks,64.8378,-147.7164,23.0,85,75,3.33,US,2021-01-23 22:41:22,broken clouds
204,bambous virieux,-20.3428,57.7575,79.0,88,40,4.61,MU,2021-01-23 22:36:34,scattered clouds
205,palana,59.1167,159.9667,-4.47,95,100,3.74,RU,2021-01-23 22:44:42,overcast clouds
206,ntcheu,-14.8203,34.6359,65.52,92,100,6.67,MW,2021-01-23 22:44:42,light rain
207,simao,22.7886,100.9748,48.51,94,0,1.23,CN,2021-01-23 22:44:42,clear sky
208,udaipura,23.0833,78.5,56.66,49,10,1.34,IN,2021-01-23 22:44:42,clear sky
209,hami,42.8,93.45,22.73,81,100,9.93,CN,2021-01-23 22:41:43,overcast clouds
210,roma,43.2128,-75.4557,15.01,67,40,11.5,US,2021-01-23 22:42:26,scattered clouds
211,zhaotong,27.3167,103.7167,37.92,90,14,1.3,CN,2021-01-23 22:44:43,few clouds
212,cabo san lucas,22.8909,-109.9124,73.4,53,20,11.5,MX,2021-01-23 22:41:12,few clouds
213,oyotun,-6.8519,-79.3036,78.8,61,0,19.57,PE,2021-01-23 22:44:43,moderate rain
214,saint-philippe,-21.3585,55.7679,78.8,69,75,5.75,RE,2021-01-23 22:41:20,light rain
215,antalaha,-14.9003,50.2788,75.61,87,60,5.28,MG,2021-01-23 22:41:24,moderate rain
216,bandarbeyla,9.4942,50.8122,73.63,72,80,17.25,SO,2021-01-23 22:42:21,broken clouds
217,bikapur,26.6,82.1333,51.48,80,0,3.11,IN,2021-01-23 22:44:44,clear sky
218,bilma,18.6853,12.9164,59.77,26,0,9.53,NE,2021-01-23 22:44:44,clear sky
219,aykhal,66.0,111.5,-37.39,79,62,4.0,RU,2021-01-23 22:42:23,broken clouds
220,santa margherita ligure,44.3346,9.212,48.99,78,89,1.92,IT,2021-01-23 22:44:44,overcast clouds
221,qaanaaq,77.484,-69.3632,16.52,79,96,2.37,GL,2021-01-23 22:41:39,overcast clouds
